born,gender,result,group
1989,Dame,18:47,5KM
1985,Dame,18:56,5KM
1982,Hea,19:20,5KM
1972,Hea,19:31,5KM
1980,Hea,19:37,5KM
1979,Hea,20:16,5KM
1994,Hea,20:17,5KM
1986,Hea,20:22,5KM
1969,Hea,20:27,5KM
1988,Hea,20:28,5KM
1964,Hea,20:33,5KM
1972,Hea,20:43,5KM
1982,Hea,20:52,5KM
1975,Dame,21:17,5KM
1974,Hea,21:32,5KM
1987,Hea,21:46,5KM
1981,Hea,21:49,5KM
1973,Hea,21:54,5KM
1989,Hea,21:55,5KM
1981,Dame,22:04,5KM
1981,Hea,22:12,5KM
1984,Hea,22:13,5KM
1989,Hea,22:20,5KM
1971,Hea,22:21,5KM
1982,Dame,22:33,5KM
1967,Hea,22:36,5KM
1977,Hea,22:37,5KM
1959,Hea,22:39,5KM
1988,Dame,22:41,5KM
1987,Hea,22:50,5KM
1992,Hea,22:58,5KM
1973,Hea,22:58,5KM
1970,Dame,23:02,5KM
1979,Hea,23:04,5KM
1986,Hea,23:06,5KM
1976,Hea,23:12,5KM
1983,Hea,23:17,5KM
1985,Hea,23:17,5KM
1899,Hea,23:20,5KM
1991,Dame,23:21,5KM
1966,Dame,23:24,5KM
1977,Hea,23:24,5KM
1967,Hea,23:27,5KM
1974,Hea,23:29,5KM
1978,Hea,23:30,5KM
1979,Dame,23:33,5KM
1983,Hea,23:33,5KM
1967,Dame,23:39,5KM
1982,Hea,23:42,5KM
1981,Hea,23:44,5KM
1989,Hea,23:45,5KM
1985,Hea,23:46,5KM
1977,Hea,23:46,5KM
1975,Hea,23:47,5KM
1979,Hea,23:49,5KM
1980,Hea,23:50,5KM
1965,Hea,24:00,5KM
1990,Hea,24:04,5KM
1981,Hea,24:07,5KM
1986,Dame,24:12,5KM
1974,Hea,24:15,5KM
1991,Dame,24:18,5KM
1990,Hea,24:23,5KM
1987,Dame,24:23,5KM
1979,Hea,24:27,5KM
1972,Hea,24:29,5KM
1980,Hea,24:32,5KM
1978,Hea,24:33,5KM
1984,Hea,24:34,5KM
1976,Hea,24:38,5KM
1961,Hea,24:39,5KM
1970,Dame,24:41,5KM
1978,Dame,24:45,5KM
1968,Hea,24:47,5KM
1976,Dame,24:48,5KM
1974,Hea,24:54,5KM
1964,Hea,24:55,5KM
1978,Hea,24:58,5KM
1988,Dame,25:10,5KM
1961,Dame,25:10,5KM
1988,Dame,25:11,5KM
1975,Hea,25:12,5KM
1992,Hea,25:13,5KM
1976,Dame,25:14,5KM
1991,Hea,25:20,5KM
1973,Dame,25:22,5KM
1985,Hea,25:23,5KM
1978,Dame,25:23,5KM
1987,Hea,25:23,5KM
1985,Dame,25:24,5KM
1974,Hea,25:27,5KM
1978,Hea,25:28,5KM
1975,Hea,25:28,5KM
1974,Hea,25:29,5KM
1967,Hea,25:29,5KM
1982,Dame,25:30,5KM
1967,Hea,25:30,5KM
1977,Dame,25:31,5KM
1963,Hea,25:31,5KM
1986,Dame,25:34,5KM
1987,Dame,25:35,5KM
1978,Dame,25:36,5KM
1972,Dame,25:38,5KM
1969,Hea,25:39,5KM
1989,Hea,25:40,5KM
1974,Dame,25:41,5KM
1899,Hea,25:41,5KM
1954,Hea,25:43,5KM
1960,Hea,25:43,5KM
1970,Hea,25:46,5KM
2004,Hea,25:49,5KM
1964,Hea,25:50,5KM
1969,Dame,25:51,5KM
1981,Dame,25:54,5KM
1973,Hea,25:54,5KM
1974,Dame,25:54,5KM
1969,Hea,25:57,5KM
1899,Hea,25:58,5KM
1982,Dame,25:58,5KM
1971,Dame,25:58,5KM
1983,Dame,25:58,5KM
1961,Hea,25:58,5KM
1993,Hea,26:04,5KM
1959,Hea,26:04,5KM
1970,Hea,26:04,5KM
1999,Dame,26:08,5KM
1971,Hea,26:16,5KM
1975,Hea,26:17,5KM
1974,Dame,26:17,5KM
1977,Dame,26:17,5KM
1980,Hea,26:19,5KM
1967,Dame,26:19,5KM
1976,Dame,26:20,5KM
1965,Hea,26:21,5KM
1989,Dame,26:22,5KM
1983,Dame,26:22,5KM
1983,Hea,26:23,5KM
1968,Dame,26:23,5KM
1979,Hea,26:23,5KM
1980,Dame,26:26,5KM
1975,Dame,26:26,5KM
1978,Hea,26:29,5KM
1969,Hea,26:33,5KM
1979,Hea,26:33,5KM
1974,Dame,26:34,5KM
1978,Dame,26:34,5KM
1979,Dame,26:35,5KM
1990,Dame,26:37,5KM
1972,Hea,26:38,5KM
1974,Hea,26:38,5KM
1985,Hea,26:41,5KM
1988,Dame,26:43,5KM
1970,Dame,26:44,5KM
1978,Hea,26:44,5KM
1977,Dame,26:46,5KM
1979,Dame,26:49,5KM
1975,Dame,26:49,5KM
1965,Dame,26:54,5KM
1968,Dame,26:57,5KM
1977,Dame,26:58,5KM
1970,Hea,26:58,5KM
1974,Dame,27:01,5KM
1958,Hea,27:05,5KM
1985,Dame,27:06,5KM
1969,Dame,27:06,5KM
1968,Hea,27:12,5KM
1963,Hea,27:14,5KM
1972,Dame,27:15,5KM
1973,Dame,27:17,5KM
1971,Dame,27:17,5KM
1985,Dame,27:20,5KM
1973,Hea,27:21,5KM
1977,Dame,27:23,5KM
1961,Hea,27:23,5KM
1992,Dame,27:24,5KM
1993,Dame,27:25,5KM
1969,Hea,27:26,5KM
1989,Dame,27:31,5KM
1964,Dame,27:31,5KM
1960,Dame,27:31,5KM
1993,Hea,27:32,5KM
1960,Dame,27:33,5KM
1948,Hea,27:33,5KM
1981,Hea,27:35,5KM
1961,Dame,27:36,5KM
1982,Dame,27:39,5KM
1976,Dame,27:39,5KM
1976,Hea,27:41,5KM
1968,Dame,27:41,5KM
1975,Hea,27:42,5KM
1987,Dame,27:43,5KM
2002,Hea,27:44,5KM
1961,Dame,27:46,5KM
1974,Dame,27:47,5KM
1952,Hea,27:52,5KM
1987,Dame,27:53,5KM
1992,Dame,27:53,5KM
1961,Dame,27:54,5KM
1992,Dame,27:54,5KM
1986,Dame,27:54,5KM
1973,Hea,27:54,5KM
1981,Dame,27:56,5KM
1965,Hea,27:57,5KM
1967,Dame,27:57,5KM
1975,Hea,27:58,5KM
1976,Dame,28:01,5KM
1973,Dame,28:02,5KM
1981,Dame,28:03,5KM
1978,Dame,28:04,5KM
1989,Dame,28:05,5KM
1972,Dame,28:05,5KM
1985,Dame,28:09,5KM
1986,Hea,28:10,5KM
2003,Hea,28:11,5KM
1959,Hea,28:11,5KM
1974,Hea,28:12,5KM
1970,Hea,28:12,5KM
1962,Dame,28:14,5KM
1990,Dame,28:14,5KM
1975,Hea,28:15,5KM
1970,Dame,28:15,5KM
1976,Hea,28:20,5KM
1981,Dame,28:22,5KM
1987,Dame,28:23,5KM
1973,Hea,28:23,5KM
1970,Dame,28:23,5KM
1978,Hea,28:25,5KM
1982,Hea,28:25,5KM
1988,Dame,28:26,5KM
1969,Dame,28:26,5KM
1974,Hea,28:26,5KM
1986,Dame,28:27,5KM
1993,Hea,28:27,5KM
1968,Dame,28:29,5KM
1970,Dame,28:33,5KM
1989,Dame,28:34,5KM
1974,Hea,28:35,5KM
1990,Dame,28:36,5KM
1977,Dame,28:36,5KM
1984,Dame,28:38,5KM
1899,Dame,28:40,5KM
1951,Hea,28:40,5KM
1972,Hea,28:42,5KM
1974,Dame,28:42,5KM
1967,Hea,28:44,5KM
1980,Dame,28:44,5KM
1983,Hea,28:44,5KM
1976,Hea,28:46,5KM
1976,Dame,28:47,5KM
1967,Hea,28:49,5KM
2002,Dame,28:50,5KM
1987,Dame,28:52,5KM
1966,Hea,28:52,5KM
1973,Hea,28:53,5KM
1976,Dame,28:53,5KM
1975,Hea,28:53,5KM
1960,Dame,28:53,5KM
1983,Hea,28:53,5KM
1981,Hea,28:54,5KM
1979,Dame,28:56,5KM
1976,Hea,28:57,5KM
1987,Dame,28:58,5KM
1979,Dame,28:58,5KM
1989,Dame,28:59,5KM
1965,Dame,29:00,5KM
1985,Dame,29:01,5KM
1972,Dame,29:04,5KM
1993,Hea,29:04,5KM
1963,Hea,29:04,5KM
1978,Dame,29:05,5KM
1979,Hea,29:05,5KM
1982,Dame,29:05,5KM
1984,Dame,29:06,5KM
1989,Dame,29:06,5KM
1958,Hea,29:07,5KM
1984,Dame,29:07,5KM
1979,Dame,29:09,5KM
1993,Dame,29:09,5KM
1992,Dame,29:10,5KM
1967,Dame,29:11,5KM
1973,Dame,29:11,5KM
1979,Hea,29:15,5KM
1959,Hea,29:17,5KM
1987,Dame,29:17,5KM
1976,Dame,29:18,5KM
1969,Dame,29:18,5KM
1996,Hea,29:18,5KM
1968,Dame,29:20,5KM
1968,Hea,29:20,5KM
1985,Hea,29:28,5KM
1965,Dame,29:30,5KM
1964,Hea,29:30,5KM
1986,Hea,29:32,5KM
1966,Dame,29:33,5KM
1981,Hea,29:34,5KM
1989,Dame,29:36,5KM
2016,Dame,29:37,5KM
1980,Dame,29:38,5KM
1969,Dame,29:39,5KM
1980,Dame,29:39,5KM
1972,Dame,29:39,5KM
1899,Dame,29:39,5KM
1974,Dame,29:40,5KM
1981,Hea,29:42,5KM
1979,Dame,29:49,5KM
1991,Hea,29:49,5KM
1983,Dame,29:50,5KM
1961,Hea,29:55,5KM
1984,Dame,29:55,5KM
1978,Hea,29:56,5KM
1972,Hea,29:56,5KM
1991,Dame,29:58,5KM
1978,Hea,29:58,5KM
1956,Hea,30:00,5KM
1960,Dame,30:00,5KM
1984,Dame,30:01,5KM
1970,Hea,30:04,5KM
1967,Hea,30:06,5KM
1970,Dame,30:06,5KM
1977,Dame,30:07,5KM
1997,Dame,30:08,5KM
1990,Dame,30:08,5KM
1998,Dame,30:08,5KM
1958,Dame,30:08,5KM
1954,Hea,30:10,5KM
1968,Dame,30:10,5KM
1989,Dame,30:11,5KM
1960,Hea,30:12,5KM
1981,Hea,30:13,5KM
1971,Dame,30:13,5KM
1957,Dame,30:13,5KM
1987,Hea,30:14,5KM
1987,Dame,30:15,5KM
1989,Dame,30:15,5KM
1946,Hea,30:17,5KM
1983,Dame,30:18,5KM
1987,Hea,30:19,5KM
1957,Dame,30:21,5KM
1991,Hea,30:21,5KM
1986,Dame,30:21,5KM
1993,Dame,30:21,5KM
1989,Dame,30:22,5KM
1968,Dame,30:22,5KM
1980,Dame,30:23,5KM
1975,Dame,30:23,5KM
1982,Dame,30:23,5KM
1980,Dame,30:23,5KM
1984,Dame,30:24,5KM
1978,Dame,30:25,5KM
1988,Dame,30:25,5KM
1984,Dame,30:26,5KM
1958,Hea,30:29,5KM
1974,Dame,30:30,5KM
1987,Dame,30:31,5KM
1971,Dame,30:31,5KM
1959,Hea,30:32,5KM
1956,Dame,30:33,5KM
1975,Hea,30:33,5KM
1989,Dame,30:34,5KM
1982,Dame,30:34,5KM
2002,Dame,30:37,5KM
1978,Dame,30:37,5KM
1973,Dame,30:38,5KM
1970,Hea,30:38,5KM
1987,Dame,30:39,5KM
1975,Dame,30:41,5KM
1983,Hea,30:42,5KM
1965,Dame,30:44,5KM
1957,Hea,30:45,5KM
1987,Dame,30:45,5KM
1981,Dame,30:45,5KM
1963,Hea,30:46,5KM
1954,Hea,30:48,5KM
1980,Hea,30:48,5KM
1980,Dame,30:48,5KM
1992,Dame,30:49,5KM
1983,Dame,30:50,5KM
1993,Dame,30:51,5KM
1985,Hea,30:55,5KM
1962,Dame,30:58,5KM
1994,Dame,30:58,5KM
1970,Dame,30:58,5KM
1954,Hea,30:59,5KM
1899,Dame,31:00,5KM
1961,Dame,31:00,5KM
1979,Hea,31:00,5KM
1993,Dame,31:01,5KM
1970,Dame,31:02,5KM
1981,Dame,31:05,5KM
1984,Dame,31:08,5KM
1972,Dame,31:08,5KM
1967,Hea,31:08,5KM
1989,Dame,31:09,5KM
1964,Dame,31:10,5KM
1948,Hea,31:10,5KM
1968,Hea,31:11,5KM
1993,Dame,31:11,5KM
1980,Dame,31:11,5KM
1987,Dame,31:19,5KM
1988,Dame,31:19,5KM
1982,Dame,31:19,5KM
1985,Dame,31:20,5KM
1982,Dame,31:20,5KM
1972,Dame,31:21,5KM
1990,Dame,31:23,5KM
1989,Hea,31:24,5KM
1974,Dame,31:25,5KM
1968,Dame,31:26,5KM
1985,Hea,31:26,5KM
1987,Hea,31:29,5KM
1964,Hea,31:30,5KM
1988,Dame,31:30,5KM
1989,Dame,31:33,5KM
1978,Dame,31:36,5KM
1966,Dame,31:36,5KM
1985,Dame,31:37,5KM
1973,Dame,31:38,5KM
1982,Dame,31:38,5KM
1974,Hea,31:38,5KM
1971,Hea,31:40,5KM
1958,Hea,31:41,5KM
1967,Hea,31:41,5KM
1983,Dame,31:43,5KM
1952,Dame,31:43,5KM
1961,Dame,31:44,5KM
1991,Dame,31:45,5KM
1973,Dame,31:46,5KM
1974,Dame,31:47,5KM
1979,Dame,31:50,5KM
1975,Dame,31:50,5KM
1976,Dame,31:50,5KM
1956,Dame,31:52,5KM
1968,Hea,31:53,5KM
1981,Dame,31:53,5KM
1991,Dame,31:53,5KM
1985,Dame,31:54,5KM
1965,Dame,31:55,5KM
1972,Dame,31:56,5KM
1986,Hea,31:56,5KM
1979,Dame,31:56,5KM
1972,Hea,31:57,5KM
1974,Dame,31:57,5KM
1989,Dame,31:59,5KM
1967,Dame,32:00,5KM
1987,Dame,32:02,5KM
1993,Hea,32:04,5KM
1966,Dame,32:04,5KM
1981,Dame,32:05,5KM
1982,Dame,32:05,5KM
1899,Dame,32:08,5KM
1975,Dame,32:12,5KM
1965,Dame,32:13,5KM
1993,Hea,32:14,5KM
1995,Dame,32:14,5KM
1968,Dame,32:15,5KM
1962,Dame,32:15,5KM
1985,Dame,32:17,5KM
1987,Dame,32:17,5KM
1947,Hea,32:17,5KM
1951,Hea,32:18,5KM
1990,Dame,32:19,5KM
1899,Hea,32:20,5KM
1980,Hea,32:21,5KM
1961,Dame,32:21,5KM
1983,Dame,32:22,5KM
1972,Dame,32:22,5KM
1961,Dame,32:23,5KM
1970,Dame,32:28,5KM
1980,Dame,32:29,5KM
1991,Dame,32:29,5KM
1990,Hea,32:30,5KM
1967,Hea,32:30,5KM
1986,Dame,32:31,5KM
1979,Dame,32:33,5KM
1956,Dame,32:35,5KM
1966,Dame,32:35,5KM
1975,Dame,32:37,5KM
1985,Dame,32:37,5KM
1963,Dame,32:40,5KM
1970,Dame,32:41,5KM
1979,Dame,32:41,5KM
1982,Hea,32:41,5KM
1969,Dame,32:44,5KM
1951,Dame,32:46,5KM
1974,Dame,32:46,5KM
1982,Dame,32:47,5KM
1994,Dame,32:48,5KM
1990,Dame,32:50,5KM
1992,Dame,32:53,5KM
1960,Hea,32:53,5KM
1982,Dame,32:55,5KM
1978,Dame,32:57,5KM
1961,Dame,32:57,5KM
1966,Dame,32:58,5KM
1958,Hea,32:58,5KM
1971,Dame,33:00,5KM
1969,Dame,33:01,5KM
1961,Hea,33:02,5KM
1964,Dame,33:02,5KM
1950,Hea,33:03,5KM
1962,Dame,33:04,5KM
1968,Dame,33:06,5KM
1963,Hea,33:09,5KM
1978,Dame,33:10,5KM
1990,Hea,33:12,5KM
1971,Dame,33:12,5KM
1968,Dame,33:13,5KM
1899,Dame,33:13,5KM
1983,Dame,33:14,5KM
1991,Dame,33:15,5KM
1994,Dame,33:16,5KM
1960,Hea,33:17,5KM
1990,Dame,33:18,5KM
1973,Dame,33:23,5KM
1977,Dame,33:24,5KM
1965,Dame,33:25,5KM
1992,Dame,33:27,5KM
1976,Dame,33:28,5KM
1959,Dame,33:28,5KM
1993,Dame,33:30,5KM
1967,Dame,33:32,5KM
2016,Hea,33:34,5KM
1962,Hea,33:35,5KM
1973,Dame,33:35,5KM
1981,Dame,33:36,5KM
1969,Dame,33:36,5KM
1981,Dame,33:37,5KM
1975,Dame,33:37,5KM
1957,Dame,33:37,5KM
1975,Dame,33:38,5KM
1974,Dame,33:39,5KM
1979,Dame,33:43,5KM
1987,Dame,33:44,5KM
1984,Dame,33:44,5KM
1974,Dame,33:45,5KM
1985,Dame,33:45,5KM
1985,Dame,33:46,5KM
1974,Dame,33:46,5KM
1965,Hea,33:46,5KM
1977,Dame,33:47,5KM
1980,Dame,33:47,5KM
1959,Hea,33:47,5KM
1982,Dame,33:49,5KM
1978,Hea,33:49,5KM
1973,Dame,33:53,5KM
1993,Dame,33:55,5KM
1972,Dame,33:55,5KM
1992,Dame,33:57,5KM
1983,Hea,33:57,5KM
1960,Dame,33:57,5KM
1961,Dame,34:01,5KM
1970,Dame,34:01,5KM
1989,Dame,34:02,5KM
1988,Dame,34:03,5KM
1972,Dame,34:03,5KM
